load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,190.7,31.941,266.9559999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2021,180.0,0.0,0.0,0.0,194.2,44.909,296.4659999999996,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2022,180.0,0.0,139.5,0.0,333.7,54.602,319.30099999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2023,0.0,0.0,439.1,0.0,463.3000000000001,57.736999999999995,338.46899999999965,73.0,12.2,0.0,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2024,0.0,0.0,611.1,0.0,640.3,61.468999999999994,361.55599999999964,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2025,0.0,0.0,611.1,0.0,790.3000000000002,66.011,385.87799999999964,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2026,0.0,0.0,611.1,0.0,949.685789010101,71.335,411.7659999999997,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,163.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0.0,0
Oahu,2027,0.0,0.0,611.1,0.0,1109.0715780202017,77.44999999999999,439.0059999999997,73.0,12.2,0.0,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,203.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0
Oahu,2028,0.0,0.0,611.1,0.0,1268.4573670303027,84.16899999999998,467.39299999999963,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,243.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0
Oahu,2029,0.0,0.0,611.1,0.0,1427.8431560404038,91.48499999999999,497.0859999999996,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,283.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Oahu,2030,0.0,0.0,611.1,0.0,1587.2289450505045,99.398,527.6079999999997,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2031,0.0,0.0,611.1,0.0,1598.313973266847,107.75299999999999,558.9279999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2032,0.0,0.0,611.1,0.0,1609.3990014831893,116.47599999999998,591.1619999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2033,0.0,0.0,611.1,0.0,1620.4840296995317,125.48199999999999,623.5819999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2034,0.0,0.0,611.1,0.0,1631.569057915874,134.797,656.5619999999998,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2035,0.0,0.0,611.1,0.0,1642.6540861322164,144.28700000000003,689.7809999999997,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,295.3799999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2036,0.0,0.0,611.1,0.0,1686.3140054113546,153.843,689.7809999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,328.1649999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2037,0.0,0.0,611.1,0.0,1729.9739246904924,163.531,689.7809999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,361.34,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2038,0.0,0.0,611.1,0.0,1773.6338439696306,173.308,689.7809999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,394.35099999999994,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2039,0.0,0.0,611.1,0.0,1817.2937632487688,183.135,689.7809999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,427.4519999999998,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2040,0.0,0.0,611.1,113.0,1860.9536825279065,193.00900000000001,689.7809999999997,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,460.71399999999977,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2041,0.0,0.0,621.8750297261709,113.0,1994.1383837750082,202.94799999999998,723.2379999999994,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,460.71399999999977,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2042,0.0,0.0,632.6500594523416,113.0,2127.3230850221103,213.046,782.6778473251105,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,434.61715267488887,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2043,0.0,0.0,643.4250891785124,113.0,2260.507786269212,223.28400000000002,790.0065440194762,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,461.36045598052294,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2044,0.0,0.0,654.2001189046831,113.0,2393.6924875163136,233.654,781.1564558732438,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,100.0,323.0,504.5965441267556,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
Oahu,2045,0.0,8.0,664.9751486308539,113.0,2526.8771887634152,244.13199999999995,771.0472680154173,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,200.0,323.0,549.743731984582,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2046,0.0,8.0,664.9751486308539,113.0,2529.4603569349274,244.13199999999998,797.2906171627446,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,499.668577872574,323.0,523.5003828372547,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2047,0.0,8.0,664.9751486308539,113.0,2532.04352510644,244.13199999999995,815.1446989596967,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,799.337155745148,323.0,505.64630104030266,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2048,0.0,8.0,664.9751486308539,113.0,2534.6266932779527,244.13199999999995,826.0749463248487,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,1099.005733617722,323.0,494.71605367515053,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2049,0.0,8.0,664.9751486308539,113.0,2537.2098614494644,244.13199999999995,836.2388663839569,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,1398.674311490296,323.0,484.5521336160422,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0,0
Oahu,2050,0.0,8.0,664.9751486308539,113.0,2539.793029620977,244.13199999999995,835.8510563069854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,1698.3428893628702,323.0,484.9399436930136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0
