RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
Hawaii_Biodiesel,2020,base,3983932.793766179
Hawaii_Biodiesel,2023,base,0.0
Hawaii_Biodiesel,2025,base,0.0
Hawaii_Biodiesel,2030,base,0.0
Hawaii_Biodiesel,2035,base,0.0
Hawaii_Biodiesel,2040,base,6315.215038851446
Hawaii_Biodiesel,2045,base,3638673.418938626
Hawaii_Biodiesel,2050,base,837990.9549449796
Hawaii_Coal,2020,base,15578808.390915971
Hawaii_Coal,2023,base,0.0
Hawaii_Coal,2025,base,0.0
Hawaii_Coal,2030,base,0.0
Hawaii_Coal,2035,base,0.0
Hawaii_Coal,2040,base,0.0
Hawaii_Coal,2045,base,0.0
Hawaii_Coal,2050,base,0.0
Hawaii_Diesel,2020,base,0.0
Hawaii_Diesel,2023,base,0.0
Hawaii_Diesel,2025,base,0.0
Hawaii_Diesel,2030,base,0.0
Hawaii_Diesel,2035,base,0.0
Hawaii_Diesel,2040,base,44334.28981189139
Hawaii_Diesel,2045,base,0.0
Hawaii_Diesel,2050,base,0.0
Hawaii_LNG,2020,bulk_05,0.0
Hawaii_LNG,2020,bulk_10,0.0
Hawaii_LNG,2020,bulk_15,0.0
Hawaii_LNG,2020,bulk_20,0.0
Hawaii_LNG,2020,bulk_25,0.0
Hawaii_LNG,2020,container_05,0.0
Hawaii_LNG,2020,container_10,0.0
Hawaii_LNG,2020,container_15,0.0
Hawaii_LNG,2020,container_20,0.0
Hawaii_LNG,2020,container_25,0.0
Hawaii_LNG,2023,bulk_05,0.0
Hawaii_LNG,2023,bulk_10,0.0
Hawaii_LNG,2023,bulk_15,0.0
Hawaii_LNG,2023,bulk_20,0.0
Hawaii_LNG,2023,bulk_25,0.0
Hawaii_LNG,2023,container_05,0.0
Hawaii_LNG,2023,container_10,0.0
Hawaii_LNG,2023,container_15,0.0
Hawaii_LNG,2023,container_20,0.0
Hawaii_LNG,2023,container_25,0.0
Hawaii_LNG,2025,bulk_05,0.0
Hawaii_LNG,2025,bulk_10,0.0
Hawaii_LNG,2025,bulk_15,0.0
Hawaii_LNG,2025,bulk_20,0.0
Hawaii_LNG,2025,bulk_25,0.0
Hawaii_LNG,2025,container_05,0.0
Hawaii_LNG,2025,container_10,0.0
Hawaii_LNG,2025,container_15,0.0
Hawaii_LNG,2025,container_20,0.0
Hawaii_LNG,2025,container_25,0.0
Hawaii_LNG,2030,bulk_05,0.0
Hawaii_LNG,2030,bulk_10,0.0
Hawaii_LNG,2030,bulk_15,0.0
Hawaii_LNG,2030,bulk_20,0.0
Hawaii_LNG,2030,bulk_25,0.0
Hawaii_LNG,2030,container_05,0.0
Hawaii_LNG,2030,container_10,0.0
Hawaii_LNG,2030,container_15,0.0
Hawaii_LNG,2030,container_20,0.0
Hawaii_LNG,2030,container_25,0.0
Hawaii_LNG,2035,bulk_05,0.0
Hawaii_LNG,2035,bulk_10,0.0
Hawaii_LNG,2035,bulk_15,0.0
Hawaii_LNG,2035,bulk_20,0.0
Hawaii_LNG,2035,bulk_25,0.0
Hawaii_LNG,2035,container_05,0.0
Hawaii_LNG,2035,container_10,0.0
Hawaii_LNG,2035,container_15,0.0
Hawaii_LNG,2035,container_20,0.0
Hawaii_LNG,2035,container_25,0.0
Hawaii_LNG,2040,bulk_05,0.0
Hawaii_LNG,2040,bulk_10,0.0
Hawaii_LNG,2040,bulk_15,0.0
Hawaii_LNG,2040,bulk_20,0.0
Hawaii_LNG,2040,bulk_25,0.0
Hawaii_LNG,2040,container_05,0.0
Hawaii_LNG,2040,container_10,0.0
Hawaii_LNG,2040,container_15,0.0
Hawaii_LNG,2040,container_20,0.0
Hawaii_LNG,2040,container_25,0.0
Hawaii_LNG,2045,bulk_05,0.0
Hawaii_LNG,2045,bulk_10,0.0
Hawaii_LNG,2045,bulk_15,0.0
Hawaii_LNG,2045,bulk_20,0.0
Hawaii_LNG,2045,bulk_25,0.0
Hawaii_LNG,2045,container_05,0.0
Hawaii_LNG,2045,container_10,0.0
Hawaii_LNG,2045,container_15,0.0
Hawaii_LNG,2045,container_20,0.0
Hawaii_LNG,2045,container_25,0.0
Hawaii_LNG,2050,bulk_05,0.0
Hawaii_LNG,2050,bulk_10,0.0
Hawaii_LNG,2050,bulk_15,0.0
Hawaii_LNG,2050,bulk_20,0.0
Hawaii_LNG,2050,bulk_25,0.0
Hawaii_LNG,2050,container_05,0.0
Hawaii_LNG,2050,container_10,0.0
Hawaii_LNG,2050,container_15,0.0
Hawaii_LNG,2050,container_20,0.0
Hawaii_LNG,2050,container_25,0.0
Hawaii_LSFO,2020,base,40568800.16794268
Hawaii_LSFO,2023,base,46080521.89589271
Hawaii_LSFO,2025,base,37217926.77266218
Hawaii_LSFO,2030,base,17448420.45824769
Hawaii_LSFO,2035,base,13304328.306409968
Hawaii_LSFO,2040,base,12704056.525627725
Hawaii_LSFO,2045,base,0.0
Hawaii_LSFO,2050,base,0.0
Hawaii_Motor_Diesel,2020,base,0.0
Hawaii_Motor_Diesel,2023,base,0.0
Hawaii_Motor_Diesel,2025,base,0.0
Hawaii_Motor_Diesel,2030,base,0.0
Hawaii_Motor_Diesel,2035,base,0.0
Hawaii_Motor_Diesel,2040,base,0.0
Hawaii_Motor_Diesel,2045,base,0.0
Hawaii_Motor_Diesel,2050,base,0.0
Hawaii_Motor_Gasoline,2020,base,0.0
Hawaii_Motor_Gasoline,2023,base,0.0
Hawaii_Motor_Gasoline,2025,base,0.0
Hawaii_Motor_Gasoline,2030,base,0.0
Hawaii_Motor_Gasoline,2035,base,0.0
Hawaii_Motor_Gasoline,2040,base,0.0
Hawaii_Motor_Gasoline,2045,base,0.0
Hawaii_Motor_Gasoline,2050,base,0.0
Hawaii_Pellet-Biomass,2020,base,0.0
Hawaii_Pellet-Biomass,2023,base,0.0
Hawaii_Pellet-Biomass,2025,base,0.0
Hawaii_Pellet-Biomass,2030,base,0.0
Hawaii_Pellet-Biomass,2035,base,0.0
Hawaii_Pellet-Biomass,2040,base,0.0
Hawaii_Pellet-Biomass,2045,base,0.0
Hawaii_Pellet-Biomass,2050,base,0.0
